,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  75 - 79 Years,4045,4209,4170,4223,4058,3992,4068,4048,4022,4133
  80 - 84 Years,3055,3088,3024,2981,3095,2936,2632,2395,2229,2142
  85 - 89 Years,1866,1673,1484,1374,1311,1232,1156,1010,922,831
  65 Years & Over,30799,28863,26965,25296,23755,22499,21158,19955,18775,17540
  70 Years & Over,17979,16822,15805,14798,13726,13414,13258,12789,12529,12252
  75 Years & Over,9719,9654,9312,9147,8961,8668,8300,7875,7556,7413
  80 Years & Over,5674,5445,5142,4924,4903,4676,4232,3827,3534,3280
  85 Years & Over,2619,2357,2118,1943,1808,1740,1600,1432,1305,1138
  90 Years & Over,753,684,634,569,497,508,444,422,383,307
Total Chinese,3006769,2993708,2969281,2948252,2923172,2900007,2874380,2853751,2831984,2808254
  0 - 4 Years,122479,125403,126229,129452,130177,127953,126663,127411,127748,126390
  5 - 9 Years,137495,136620,137097,136570,135257,136134,135766,134501,134579,135660
  10 - 14 Years,138559,138611,136796,136448,137225,143109,148099,152444,158134,164707
  15 - 19 Years,145574,150821,154198,159568,165774,168641,172689,179429,182494,183702
  20 - 24 Years,171053,175115,180656,183474,184609,187266,186771,190460,189212,181822
  25 - 29 Years,208751,209293,213123,212862,204843,197951,193787,184455,182756,188686
  30 - 34 Years,221135,217976,206873,204446,208889,211777,211976,215075,213459,215309
  35 - 39 Years,219113,219703,221887,219561,220701,220671,220906,223574,230350,231657
  40 - 44 Years,221128,222036,224416,230806,231775,234287,234352,231365,228257,225693
  45 - 49 Years,232379,233017,229736,225935,223222,224201,227540,233414,237372,240938
  50 - 54 Years,220144,223988,229401,232687,235906,236497,237697,237503,237159,237735
  55 - 59 Years,230987,232635,232490,231813,232481,230757,227374,222954,217054,208954
  60 - 64 Years,224025,221156,216752,210800,202871,194874,188427,181827,175754,171094
  65 - 69 Years,187097,181242,174682,168582,163881,151385,134123,121587,107912,94754
  70 - 74 Years,142318,126015,113955,100894,88238,87310,90889,89985,88482,84360
  75 - 79 Years,78319,81375,80247,78725,74926,68563,63831,58427,55620,54877
  80 - 84 Years,57006,52993,48056,45437,44620,43155,40331,38500,36811,35055
  85 - 89 Years,31146,28865,27237,25927,24662,23250,21502,19626,18224,16765
  65 Years & Over,513947,487334,459627,433830,409442,385889,362333,339339,317656,295907
  70 Years & Over,326850,306092,284945,265248,245561,234504,228210,217752,209744,201153
  75 Years & Over,184532,180077,170990,164354,157323,147194,137321,127767,121262,116793
  80 Years & Over,106213,98702,90743,85629,82397,78631,73490,69340,65642,61916
  85 Years & Over,49207,45709,42687,40192,37777,35476,33159,30840,28831,26861
  90 Years & Over,18061,16844,15450,14265,13115,12226,11657,11214,10607,10096
Total Male Chinese,1461344,1455708,1445375,1436284,1425244,1415303,1403927,1395183,1385606,1375665
  0 - 4 Years,62421,64062,64571,66394,66943,65896,65120,65562,65510,64775
  5 - 9 Years,70791,70210,70539,70115,69259,69716,69555,68932,68931,69469
  10 - 14 Years,70928,70933,70044,69850,70290,73335,76144,78468,81512,84973
  15 - 19 Years,74493,77349,79286,82160,85383,86728,88722,91804,93414,93766
  20 - 24 Years,87309,89204,92077,93506,93681,94775,94189,95779,95079,91656
  25 - 29 Years,103369,103367,105003,104440,100380,96831,94600,89948,88944,92011
  30 - 34 Years,106485,104571,98895,97484,99734,100938,101060,102421,101426,102101
  35 - 39 Years,104060,104225,105120,103832,104108,104242,104419,105906,109368,110390
